"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",1993-01-12,1993,1,12,"sdl","cr21x","airtemp_min",-29.71,NA
"raw logger",1993-01-12,1993,1,12,"sdl","cr21x","DTR",11.97,NA
"raw logger",1993-01-12,1993,1,12,"sdl","cr21x","airtemp_max",-17.74,NA
"raw logger",1993-01-12,1993,1,12,"sdl","cr21x","airtemp_avg",-23.04,NA
"raw logger",1993-01-13,1993,1,13,"sdl","cr21x","DTR",9.53,NA
"raw logger",1993-01-13,1993,1,13,"sdl","cr21x","airtemp_min",-18.25,NA
"raw logger",1993-01-13,1993,1,13,"sdl","cr21x","airtemp_max",-8.72,NA
"raw logger",1993-01-13,1993,1,13,"sdl","cr21x","airtemp_avg",-12.9,NA
"raw logger",1993-01-14,1993,1,14,"sdl","cr21x","airtemp_min",-12.37,NA
"raw logger",1993-01-14,1993,1,14,"sdl","cr21x","DTR",6.016,NA
"raw logger",1993-01-14,1993,1,14,"sdl","cr21x","airtemp_avg",-10.24,NA
"raw logger",1993-01-14,1993,1,14,"sdl","cr21x","airtemp_max",-6.354,NA
"raw logger",1993-01-15,1993,1,15,"sdl","cr21x","airtemp_min",-14.06,NA
"raw logger",1993-01-15,1993,1,15,"sdl","cr21x","DTR",6.41,NA
"raw logger",1993-01-15,1993,1,15,"sdl","cr21x","airtemp_max",-7.65,NA
"raw logger",1993-01-15,1993,1,15,"sdl","cr21x","airtemp_avg",-11.29,NA
"raw logger",1993-01-16,1993,1,16,"sdl","cr21x","airtemp_min",-14.89,NA
"raw logger",1993-01-16,1993,1,16,"sdl","cr21x","DTR",8.019,NA
"raw logger",1993-01-16,1993,1,16,"sdl","cr21x","airtemp_max",-6.871,NA
"raw logger",1993-01-16,1993,1,16,"sdl","cr21x","airtemp_avg",-11.01,NA
"raw logger",1993-01-17,1993,1,17,"sdl","cr21x","DTR",8.688,NA
"raw logger",1993-01-17,1993,1,17,"sdl","cr21x","airtemp_min",-12.19,NA
"raw logger",1993-01-17,1993,1,17,"sdl","cr21x","airtemp_max",-3.502,NA
"raw logger",1993-01-17,1993,1,17,"sdl","cr21x","airtemp_avg",-9.27,NA
"raw logger",1993-01-18,1993,1,18,"sdl","cr21x","airtemp_min",-14.13,NA
"raw logger",1993-01-18,1993,1,18,"sdl","cr21x","DTR",8.397,NA
"raw logger",1993-01-18,1993,1,18,"sdl","cr21x","airtemp_avg",-10.78,NA
"raw logger",1993-01-18,1993,1,18,"sdl","cr21x","airtemp_max",-5.733,NA
"raw logger",1993-01-19,1993,1,19,"sdl","cr21x","airtemp_min",-14.11,NA
"raw logger",1993-01-19,1993,1,19,"sdl","cr21x","DTR",7.619,NA
"raw logger",1993-01-19,1993,1,19,"sdl","cr21x","airtemp_max",-6.491,NA
"raw logger",1993-01-19,1993,1,19,"sdl","cr21x","airtemp_avg",-10.37,NA
"raw logger",1993-01-20,1993,1,20,"sdl","cr21x","airtemp_min",-17.98,NA
"raw logger",1993-01-20,1993,1,20,"sdl","cr21x","DTR",9.68,NA
"raw logger",1993-01-20,1993,1,20,"sdl","cr21x","airtemp_max",-8.3,NA
"raw logger",1993-01-20,1993,1,20,"sdl","cr21x","airtemp_avg",-13.14,NA
"raw logger",1993-01-21,1993,1,21,"sdl","cr21x","DTR",5.15,NA
"raw logger",1993-01-21,1993,1,21,"sdl","cr21x","airtemp_min",-12.89,NA
"raw logger",1993-01-21,1993,1,21,"sdl","cr21x","airtemp_max",-7.74,NA
"raw logger",1993-01-21,1993,1,21,"sdl","cr21x","airtemp_avg",-10.24,NA
"raw logger",1993-01-22,1993,1,22,"sdl","cr21x","airtemp_max",-2.559,NA
"raw logger",1993-01-22,1993,1,22,"sdl","cr21x","DTR",15.511,NA
"raw logger",1993-01-22,1993,1,22,"sdl","cr21x","airtemp_avg",-10.52,NA
"raw logger",1993-01-22,1993,1,22,"sdl","cr21x","airtemp_min",-18.07,NA
"raw logger",1993-01-23,1993,1,23,"sdl","cr21x","airtemp_avg",-20.39,NA
"raw logger",1993-01-23,1993,1,23,"sdl","cr21x","DTR",7.95,NA
"raw logger",1993-01-23,1993,1,23,"sdl","cr21x","airtemp_max",-16.38,NA
"raw logger",1993-01-23,1993,1,23,"sdl","cr21x","airtemp_min",-24.33,NA
"raw logger",1993-01-24,1993,1,24,"sdl","cr21x","airtemp_min",-20.81,NA
"raw logger",1993-01-24,1993,1,24,"sdl","cr21x","DTR",9.32,NA
"raw logger",1993-01-24,1993,1,24,"sdl","cr21x","airtemp_max",-11.49,NA
"raw logger",1993-01-24,1993,1,24,"sdl","cr21x","airtemp_avg",-16.58,NA
