"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
NA,2010,9,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"POAGLA",2011,10,"2_CAX","Edge",2,"CAX","A","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2012,11,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,2013,12,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,2014,13,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,2015,14,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
"GENAMA",2016,15,"2_CAX","Edge",2,"CAX","A","X","GEAM3","Gentianella amarella","forb"
"FESBRA",2017,16,"2_CAX","Edge",2,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
NA,2018,17,"2_CAX","Edge",2,"CAX","A","X",NA,NA,NA
NA,2003,2,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2004,3,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"SWEPER",2005,4,"3_CAX","Edge",3,"CAX","A","X","SWPE","Swertia perennis","forb"
NA,2006,5,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2007,6,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"CHIJAM",2008,7,"3_CAX","Edge",3,"CAX","A","X","CHJA","Chionophila jamesii","forb"
"LEWPYG",2009,8,"3_CAX","Edge",3,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
NA,2010,9,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2011,10,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2012,11,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2013,12,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2014,13,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2015,14,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2016,15,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
NA,2017,16,"3_CAX","Edge",3,"CAX","A","X",NA,NA,NA
"POTDIV",2018,17,"3_CAX","Edge",3,"CAX","A","X","PODI2","Potentilla diversifolia","forb"
"BISVIV",2003,2,"4_CAX","Tundra Lab",4,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"SIBPRO",2003,2,"4_CAX","Tundra Lab",4,"CAX","A","X","SIPR","Sibbaldia procumbens","forb"
NA,2004,3,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"CASOCC",2005,4,"4_CAX","Tundra Lab",4,"CAX","A","X","CAOC4","Castilleja occidentalis","forb"
NA,2006,5,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"PHLALP",2007,6,"4_CAX","Tundra Lab",4,"CAX","A","X","PHAL2","Phleum alpinum","graminoid"
"STELON",2007,6,"4_CAX","Tundra Lab",4,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2008,7,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2009,8,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2010,9,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2011,10,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2012,11,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2013,12,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"CARSCO",2014,13,"4_CAX","Tundra Lab",4,"CAX","A","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2016,15,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2017,16,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
NA,2018,17,"4_CAX","Tundra Lab",4,"CAX","A","X",NA,NA,NA
"ALLGEY",2003,2,"5_CAX","Watershed",5,"CAX","A","X","ALGE","Allium geyeri","forb"
"BISVIV",2003,2,"5_CAX","Watershed",5,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"CARSCO",2003,2,"5_CAX","Watershed",5,"CAX","A","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"STELON",2003,2,"5_CAX","Watershed",5,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2004,3,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"RHORHO",2005,4,"5_CAX","Watershed",5,"CAX","A","X","RHRH4","Rhodiola rhodantha","forb"
NA,2006,5,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2007,6,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2008,7,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2009,8,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"MERLAN",2010,9,"5_CAX","Watershed",5,"CAX","A","X","MELA3","Mertensia lanceolata","forb"
"SAXRHO",2010,9,"5_CAX","Watershed",5,"CAX","A","X","SARH2","Saxifraga rhomboidea","forb"
NA,2011,10,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2012,11,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,2013,12,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
