site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-26,B1_10,PHPU5,17
nutnet,2013,2013-07-26,B1_10,POARG,4
nutnet,2013,2013-07-26,B1_10,POBI6,2
nutnet,2013,2013-07-26,B1_10,PODI2,6
nutnet,2013,2013-07-26,B1_10,POVI,13
nutnet,2013,2013-07-26,B1_10,POVI3,0.25
nutnet,2013,2013-07-26,B1_10,PRAN,1
nutnet,2013,2013-07-26,B1_10,SARH2,0.25
nutnet,2013,2013-07-26,B1_10,SEDES,4
nutnet,2013,2013-07-26,B1_10,SELA,3
nutnet,2013,2013-07-26,B1_10,SIACS2,7
nutnet,2013,2013-07-26,B1_10,SOSIN,3
nutnet,2013,2013-07-26,B1_10,TEACC,6
nutnet,2013,2013-07-26,B1_10,TEGR3,6
nutnet,2013,2013-07-26,B1_10,TRSP2,3
nutnet,2013,2013-07-26,B1_10,VIOLA,1
nutnet,2013,2013-07-30,B2_1,2LICHN,1
nutnet,2013,2013-07-30,B2_1,2LTR,9
nutnet,2013,2013-07-30,B2_1,ALGE,3
nutnet,2013,2013-07-30,B2_1,ARFEF3,2
nutnet,2013,2013-07-30,B2_1,ARSC,1
nutnet,2013,2013-07-30,B2_1,CARUD,20
nutnet,2013,2013-07-30,B2_1,CAUN2,5
nutnet,2013,2013-07-30,B2_1,DECE,1
nutnet,2013,2013-07-30,B2_1,GERO2,21
nutnet,2013,2013-07-30,B2_1,KOMY,44
nutnet,2013,2013-07-30,B2_1,LEPY2,0.25
nutnet,2013,2013-07-30,B2_1,LLSE,0.25
nutnet,2013,2013-07-30,B2_1,MELA3,2
nutnet,2013,2013-07-30,B2_1,MIOB2,14
nutnet,2013,2013-07-30,B2_1,ORALA,3
nutnet,2013,2013-07-30,B2_1,PHPU5,2
nutnet,2013,2013-07-30,B2_1,POBI6,0.25
nutnet,2013,2013-07-30,B2_1,PODI2,0.25
nutnet,2013,2013-07-30,B2_1,POVI3,5
nutnet,2013,2013-07-30,B2_1,PRAN,1
nutnet,2013,2013-07-30,B2_1,SEDES,8
nutnet,2013,2013-07-30,B2_1,SELA,0.25
nutnet,2013,2013-07-30,B2_1,SOSIN,4
nutnet,2013,2013-07-30,B2_1,TEACC,1
nutnet,2013,2013-07-30,B2_1,TRPAP,0.25
nutnet,2013,2013-07-30,B2_2,2BARE,1
nutnet,2013,2013-07-30,B2_2,2LTR,9
nutnet,2013,2013-07-30,B2_2,ALGE,6
nutnet,2013,2013-07-30,B2_2,ANAL4,0.25
nutnet,2013,2013-07-30,B2_2,ARFEF3,1
nutnet,2013,2013-07-30,B2_2,ARSC,2
nutnet,2013,2013-07-30,B2_2,CARUD,37
nutnet,2013,2013-07-30,B2_2,CASC12,7
nutnet,2013,2013-07-30,B2_2,CAUN2,10
nutnet,2013,2013-07-30,B2_2,GERO2,15
nutnet,2013,2013-07-30,B2_2,KOMY,47
nutnet,2013,2013-07-30,B2_2,LEPY2,3
